time,bitcoins
2012/2/11 0:00,8317850
2012/2/13 0:00,8333200
2012/2/15 0:00,8347100
2012/2/17 0:00,8360650
2012/2/19 0:00,8377250
2012/2/21 0:00,8390950
2012/2/23 0:00,8407200
2012/2/25 0:00,8422800
2012/2/27 0:00,8438300
2012/2/29 0:00,8455100
2012/3/2 0:00,8469550
2012/3/4 0:00,8482000
2012/3/6 0:00,8496000
2012/3/8 0:00,8511250
2012/3/10 0:00,8528200
2012/3/12 0:00,8543300
2012/3/14 0:00,8557800
2012/3/16 0:00,8571400
2012/3/18 0:00,8587800
2012/3/20 0:00,8603100
2012/3/22 0:00,8619000
2012/3/24 0:00,8634100
2012/3/26 0:00,8650050
2012/3/28 0:00,8665400
2012/3/30 0:00,8679850
2012/4/1 0:00,8695500
2012/4/3 0:00,8708250
2012/4/5 0:00,8721250
2012/4/7 0:00,8734000
2012/4/9 0:00,8748850
2012/4/11 0:00,8763150
2012/4/13 0:00,8776350
2012/4/15 0:00,8788850
2012/4/17 0:00,8802600
2012/4/19 0:00,8816500
2012/4/21 0:00,8831600
2012/4/23 0:00,8846450
2012/4/25 0:00,8859500
2012/4/27 0:00,8873500
2012/4/29 0:00,8889600
2012/5/1 0:00,8907000
2012/5/3 0:00,8923000
2012/5/5 0:00,8938550
2012/5/7 0:00,8955700
2012/5/9 0:00,8973200
2012/5/11 0:00,8986550
2012/5/13 0:00,9000000
2012/5/15 0:00,9013700
2012/5/17 0:00,9025200
2012/5/19 0:00,9039700
2012/5/21 0:00,9053400
2012/5/23 0:00,9065300
2012/5/25 0:00,9077850
2012/5/27 0:00,9092800
2012/5/29 0:00,9106500
2012/5/31 0:00,9119800
2012/6/2 0:00,9135150
2012/6/4 0:00,9150600
2012/6/6 0:00,9165850
2012/6/8 0:00,9179550
2012/6/10 0:00,9196400
2012/6/12 0:00,9211100
2012/6/14 0:00,9226500
2012/6/16 0:00,9242450
2012/6/18 0:00,9258450
2012/6/20 0:00,9274350
2012/6/22 0:00,9287500
2012/6/24 0:00,9302600
2012/6/26 0:00,9317650
2012/6/28 0:00,9332500
2012/6/30 0:00,9346600
2012/7/2 0:00,9361550
2012/7/4 0:00,9376750
2012/7/6 0:00,9391250
2012/7/8 0:00,9407450
2012/7/10 0:00,9423250
2012/7/12 0:00,9437650
2012/7/14 0:00,9453150
2012/7/16 0:00,9468000
2012/7/18 0:00,9484400
2012/7/20 0:00,9498500
2012/7/22 0:00,9512950
2012/7/24 0:00,9528500
2012/7/26 0:00,9545100
2012/7/28 0:00,9562000
2012/7/30 0:00,9578500
2012/8/1 0:00,9592200
2012/8/3 0:00,9608550
2012/8/5 0:00,9623300
2012/8/7 0:00,9637800
2012/8/9 0:00,9654250
2012/8/11 0:00,9670350
2012/8/13 0:00,9686450
2012/8/15 0:00,9703150
2012/8/17 0:00,9718000
2012/8/19 0:00,9733300
2012/8/21 0:00,9751800
2012/8/23 0:00,9767500
2012/8/25 0:00,9781850
2012/8/27 0:00,9798100
2012/8/29 0:00,9813900
2012/8/31 0:00,9828950
2012/9/2 0:00,9844750
2012/9/4 0:00,9860150
2012/9/6 0:00,9878450
2012/9/8 0:00,9894050
2012/9/10 0:00,9908900
2012/9/12 0:00,9923850
2012/9/14 0:00,9939200
2012/9/16 0:00,9953850
2012/9/18 0:00,9971000
2012/9/20 0:00,9985500
2012/9/22 0:00,10002250
2012/9/24 0:00,10017500
2012/9/26 0:00,10032100
2012/9/28 0:00,10047450
2012/9/30 0:00,10063450
2012/10/2 0:00,10077650
2012/10/4 0:00,10091250
2012/10/6 0:00,10105150
2012/10/8 0:00,10120300
2012/10/10 0:00,10135000
2012/10/12 0:00,10149450
2012/10/14 0:00,10163650
2012/10/16 0:00,10179100
2012/10/18 0:00,10193900
2012/10/20 0:00,10208750
2012/10/22 0:00,10224950
2012/10/24 0:00,10239600
2012/10/26 0:00,10254550
2012/10/28 0:00,10271900
2012/10/30 0:00,10287250
2012/11/1 0:00,10300950
2012/11/3 0:00,10315350
2012/11/5 0:00,10331000
2012/11/7 0:00,10345650
2012/11/9 0:00,10361000
2012/11/11 0:00,10375600
2012/11/13 0:00,10389450
2012/11/15 0:00,10403450
2012/11/17 0:00,10417550
2012/11/19 0:00,10431650
2012/11/21 0:00,10447300
2012/11/23 0:00,10461900
2012/11/25 0:00,10477050
2012/11/27 0:00,10492600
2012/11/29 0:00,10504650
2012/12/1 0:00,10511875
2012/12/3 0:00,10519400
2012/12/5 0:00,10525175
2012/12/7 0:00,10531850
2012/12/9 0:00,10538475
2012/12/11 0:00,10545650
2012/12/13 0:00,10552275
2012/12/15 0:00,10557825
2012/12/17 0:00,10563850
2012/12/19 0:00,10570575
2012/12/21 0:00,10576300
